zamowienie_id,klient_id,pracownik_id,samochod_id,platnosc_id,rok,miesiac,dzien,koszt
1,12,5,12,3,2021,5,26,6176967
2,12,10,4,1,2021,12,15,9790606
3,6,11,13,3,2021,10,27,7272597
4,12,8,12,2,2021,8,16,3314822
5,19,1,21,3,2021,8,22,4895139
6,3,1,20,1,2021,7,11,347590
7,8,10,15,1,2021,12,15,8389812
8,3,8,15,2,2021,11,19,4404024
9,1,6,14,3,2021,1,1,2593037
10,9,1,23,3,2021,11,23,39777
11,18,5,16,3,2021,7,21,5373821
12,17,8,8,1,2021,6,26,1243270
13,12,8,16,3,2021,11,25,6864199
14,2,3,23,3,2021,4,1,7922940
15,11,1,18,1,2021,7,25,8061552
16,2,3,24,2,2021,1,6,3889253
17,14,2,8,2,2021,7,10,1680344
18,17,8,25,2,2021,10,21,552734
19,1,7,16,1,2021,6,15,1781751
20,2,8,15,2,2021,4,18,9676176
